Year,Month,Rainfall
2001,8,73.8
2001,9,95.55
2001,10,67.9
2001,11,71.95
2001,12,55.8
2002,1,51.05
2002,2,49.0
2002,3,53.2
2002,4,69.65
2002,5,84.05000000000001
2002,6,76.15
2002,7,87.0
2002,8,92.6
2002,9,74.45
2002,10,93.25
2002,11,80.6
2002,12,65.15
2003,1,54.5
2003,2,44.150000000000006
2003,3,47.8
2003,4,61.6
2003,5,75.4
2003,6,70.7
2003,7,82.4
2003,8,71.75
2003,9,72.65
2003,10,87.44999999999999
2003,11,61.5
2003,12,62.05
2004,1,66.85
2004,2,50.45
2004,3,51.400000000000006
2004,4,72.85
2004,5,78.25
2004,6,80.9
2004,7,80.8
2004,8,82.45
2004,9,77.1
2004,10,75.35
2004,11,64.5
2004,12,58.2
2005,1,54.849999999999994
2005,2,49.25
2005,3,52.15
2005,4,62.3
2005,5,84.2
2005,6,74.75
2005,7,90.05
2005,8,94.19999999999999
2005,9,78.75
2005,10,72.5
2005,11,65.75
2005,12,63.1
2006,1,58.6
2006,2,52.95
2006,3,60.349999999999994
2006,4,61.95
2006,5,78.75
2006,6,67.19999999999999
2006,7,60.7
2006,8,94.80000000000001
2006,9,78.0
2006,10,80.5
2006,11,62.95
2006,12,55.65
2007,1,55.85
2007,2,47.6
2007,3,62.9
2007,4,58.8
2007,5,85.3
2007,6,72.35
2007,7,97.05
2007,8,88.65
2007,9,86.6
2007,10,74.25
2007,11,67.8
2007,12,54.95
2008,1,55.0
2008,2,42.1
2008,3,60.05
2008,4,67.1
2008,5,59.400000000000006
2008,6,80.45
2008,7,82.75
2008,8,88.85
2008,9,80.55000000000001
2008,10,80.75
2008,11,59.05
2008,12,58.0
2009,1,66.2
2009,2,56.5
2009,3,53.5
2009,4,61.3
2009,5,70.8
2009,6,78.8
2009,7,83.75
2009,8,71.6
2009,9,72.3
2009,10,86.95
2009,11,79.69999999999999
2009,12,73.65
2010,1,58.3
2010,2,58.25
2010,3,54.3
2010,4,61.0
2010,5,96.6
2010,6,80.45
2010,7,84.05
2010,8,91.65
2010,9,89.0
2010,10,81.85
2010,11,68.55000000000001
2010,12,66.94999999999999
2011,1,53.55
2011,2,52.0
2011,3,55.05
2011,4,55.7
2011,5,68.35
2011,6,78.0
2011,7,94.15
2011,8,84.44999999999999
2011,9,63.9
2011,10,73.25
2011,11,56.349999999999994
2011,12,61.4
2012,1,53.849999999999994
2012,2,42.3
2012,3,43.1
2012,4,84.25
2012,5,77.3
2012,6,78.75
2012,7,83.30000000000001
2012,8,73.4
2012,9,78.69999999999999
2012,10,91.19999999999999
2012,11,65.6
2012,12,75.85
2013,1,60.8
2013,2,52.5
2013,3,54.9
2013,4,64.7
2013,5,95.65
2013,6,77.25
2013,7,66.45
2013,8,70.35
2013,9,83.94999999999999
2013,10,84.0
2013,11,73.35
2013,12,62.25
2014,1,58.2
2014,2,44.5
2014,3,45.650000000000006
2014,4,63.25
2014,5,87.15
2014,6,69.4
2014,7,86.75
2014,8,93.4
2014,9,85.9
2014,10,76.19999999999999
2014,11,71.15
2014,12,66.35
2015,1,67.05000000000001
2015,2,53.400000000000006
2015,3,61.55
2015,4,55.45
2015,5,66.5
2015,6,67.95
2015,7,71.9
2015,8,85.4
2015,9,78.85
2015,10,87.1
2015,11,66.19999999999999
2015,12,41.0
2016,1,63.2
2016,2,55.0
2016,3,62.35
2016,4,60.75
2016,5,93.2
2016,6,81.4
2016,7,83.6
2016,8,77.8
2016,9,67.5
2016,10,77.65
2016,11,72.3
2016,12,49.5
2017,1,52.400000000000006
2017,2,45.0
2017,3,57.150000000000006
2017,4,68.45
2017,5,72.1
2017,6,74.3
2017,7,85.9
2017,8,80.85
2017,9,90.05
2017,10,73.35
2017,11,66.94999999999999
2017,12,69.5
2018,1,68.80000000000001
2018,2,56.0
2018,3,67.95
2018,4,59.25
2018,5,89.25
2018,6,80.25
2018,7,79.75
2018,8,74.25
2018,9,69.7
2018,10,72.8
2018,11,59.05
2018,12,65.85
2019,1,57.3
2019,2,42.7
2019,3,52.599999999999994
2019,4,68.75
2019,5,79.85
2019,6,71.6
2019,7,76.69999999999999
2019,8,71.25
2019,9,78.75
2019,10,89.75
2019,11,75.85
2019,12,68.85
2020,1,52.650000000000006
2020,2,52.150000000000006
2020,3,55.3
2020,4,56.9
2020,5,66.0
2020,6,88.45
2020,7,85.0
2020,8,83.85
2020,9,81.65
2020,10,93.55000000000001
2020,11,50.3
2020,12,60.8
