Year,Month,Temperature
1960,6,0.8300970873786397
1960,7,0.9174757281553401
1960,8,1.1213592233009697
1960,9,0.8883495145631066
1960,10,0.8300970873786397
1960,11,0.1601941747572817
1960,12,-0.7427184466019416
1961,1,-0.8592233009708732
1961,2,-0.7718446601941751
1961,3,0.27669902912621325
1961,4,0.5097087378640786
1961,5,0.9757281553398047
1961,6,0.8300970873786397
1961,7,0.7718446601941751
1961,8,0.8883495145631066
1961,9,0.8009708737864085
1961,10,0.5970873786407767
1961,11,-0.01456310679611672
1961,12,-0.5679611650485432
1962,1,-1.0922330097087363
1962,2,-0.4805825242718451
1962,3,0.33495145631068013
1962,4,0.3058252427184467
1962,5,0.27669902912621325
1962,6,0.5970873786407767
1962,7,1.0048543689320382
1962,8,0.9466019417475735
1962,9,1.063106796116505
1962,10,0.7718446601941751
1962,11,-0.04368932038835016
1962,12,-0.7135922330097082
1963,1,-0.7718446601941751
1963,2,-0.21844660194174637
1963,3,-0.04368932038835016
1963,4,0.13106796116504826
1963,5,0.21844660194174859
1963,6,0.8592233009708732
1963,7,1.0048543689320422
1963,8,1.0339805825242716
1963,9,0.9466019417475735
1963,10,0.6262135922330101
1963,11,0.13106796116504826
1963,12,-0.8592233009708732
1964,1,-0.8883495145631066
1964,2,-0.5388349514563099
1964,3,0.6553398058252435
1964,4,0.27669902912621747
1964,5,0.45145631067961167
1964,6,0.7135922330097082
1964,7,0.7135922330097082
1964,8,0.7427184466019416
1964,9,0.5970873786407767
1964,10,0.42233009708738245
1964,11,-0.014563106796112502
1964,12,-1.0922330097087363
1965,1,-1.063106796116505
1965,2,-0.21844660194174637
1965,3,0.2475728155339798
1965,4,0.04368932038835016
1965,5,0.33495145631068013
1965,6,0.8883495145631066
1965,7,0.8883495145631066
1965,8,0.8883495145631066
1965,9,0.7718446601941751
1965,10,0.45145631067961167
1965,11,0.10194174757281482
1965,12,-0.8592233009708732
1966,1,-0.6553398058252414
1966,2,-0.36407766990291135
1966,3,0.18932038834951515
1966,4,0.2475728155339798
1966,5,0.36407766990291357
1966,6,0.9466019417475735
1966,7,0.9757281553398047
1966,8,1.1504854368932032
1966,9,0.9757281553398047
1966,10,0.6844660194174748
1966,11,0.01456310679611672
1966,12,-0.7718446601941751
1967,1,-1.0339805825242716
1967,2,-0.5679611650485432
1967,3,0.04368932038835016
1967,4,0.27669902912621325
1967,5,0.5097087378640786
1967,6,0.6553398058252435
1967,7,0.7427184466019416
1967,8,0.8592233009708732
1967,9,0.8009708737864085
1967,10,0.6262135922330101
1967,11,-0.07281553398058138
1967,12,-0.7427184466019375
1968,1,-1.20873786407767
1968,2,-1.0922330097087363
1968,3,-0.01456310679611672
1968,4,0.10194174757281482
1968,5,0.5679611650485432
1968,6,0.7135922330097082
1968,7,0.8592233009708732
1968,8,0.9757281553398047
1968,9,0.6553398058252435
1968,10,0.6844660194174748
1968,11,0.04368932038835016
1968,12,-0.36407766990291135
1969,1,-0.8009708737864064
1969,2,-0.45145631067961167
1969,3,0.5970873786407767
1969,4,0.4805825242718451
1969,5,0.7718446601941751
1969,6,0.9466019417475735
1969,7,0.8300970873786397
1969,8,0.9466019417475735
1969,9,0.9174757281553401
1969,10,0.7135922330097082
1969,11,0.01456310679611672
1969,12,-0.3058252427184467
1970,1,-0.8300970873786399
1970,2,-0.5097087378640764
1970,3,0.36407766990291357
1970,4,0.4805825242718451
1970,5,0.5388349514563098
1970,6,1.0339805825242716
1970,7,0.8009708737864085
1970,8,0.8883495145631066
1970,9,0.8009708737864085
1970,10,0.6262135922330101
1970,11,-0.10194174757281482
1970,12,-0.8592233009708732
1971,1,-1.063106796116505
1971,2,-0.7135922330097082
1971,3,0.2475728155339798
1971,4,0.27669902912621325
1971,5,0.5970873786407767
1971,6,0.7135922330097082
1971,7,0.8300970873786397
1971,8,0.7427184466019416
1971,9,0.7135922330097082
1971,10,0.42233009708737823
1971,11,-0.1601941747572817
1971,12,-0.8883495145631066
1972,1,-0.9466019417475714
1972,2,-0.7718446601941751
1972,3,0.10194174757281482
1972,4,0.27669902912621747
1972,5,0.5388349514563098
1972,6,0.7135922330097122
1972,7,0.8883495145631066
1972,8,0.8883495145631066
1972,9,0.9466019417475735
1972,10,0.6844660194174748
1972,11,0.3932038834951448
1972,12,-0.5388349514563099
1973,1,-0.7718446601941751
1973,2,-0.18932038834951515
1973,3,0.6553398058252435
1973,4,0.42233009708737823
1973,5,0.6262135922330101
1973,6,1.0339805825242716
1973,7,1.0339805825242716
1973,8,0.9466019417475735
1973,9,0.9757281553398047
1973,10,0.6553398058252435
1973,11,0.04368932038835016
1973,12,-1.0339805825242716
1974,1,-1.1213592233009697
1974,2,-0.9466019417475714
1974,3,0.10194174757281482
1974,4,0.42233009708737823
1974,5,0.33495145631068013
1974,6,0.7135922330097122
1974,7,0.5679611650485432
1974,8,0.7135922330097122
1974,9,0.6844660194174748
1974,10,0.6262135922330101
1974,11,0.2475728155339798
1974,12,-0.8300970873786399
1975,1,-1.1504854368932032
1975,2,-0.45145631067960745
1975,3,0.04368932038835016
1975,4,0.5388349514563098
1975,5,0.6262135922330101
1975,6,0.6844660194174748
1975,7,0.6553398058252435
1975,8,0.7427184466019416
1975,9,0.6553398058252435
1975,10,0.4805825242718451
1975,11,-0.10194174757281482
1975,12,-0.8592233009708732
1976,1,-1.1796116504854366
1976,2,-0.6844660194174749
1976,3,-0.18932038834951515
1976,4,0.13106796116504826
1976,5,0.3058252427184467
1976,6,0.6262135922330101
1976,7,0.5388349514563098
1976,8,0.6553398058252435
1976,9,0.6553398058252435
1976,10,0.7718446601941751
1976,11,0.1601941747572817
1976,12,-0.5679611650485432
1977,1,-0.9757281553398048
1977,2,-0.5097087378640764
1977,3,0.3058252427184467
1977,4,0.27669902912621747
1977,5,0.5679611650485472
1977,6,0.8300970873786397
1977,7,0.8592233009708772
1977,8,0.9466019417475735
1977,9,0.9757281553398047
1977,10,0.5679611650485432
1977,11,0.1601941747572817
1977,12,-0.36407766990291135
1978,1,-1.0048543689320382
1978,2,-0.6844660194174749
1978,3,0.3058252427184467
1978,4,0.3932038834951448
1978,5,0.7135922330097122
1978,6,0.8883495145631066
1978,7,0.9466019417475735
1978,8,0.9174757281553401
1978,9,0.8883495145631066
1978,10,0.5970873786407767
1978,11,0.21844660194174859
1978,12,-0.18932038834951515
1979,1,-0.7135922330097082
1979,2,-0.21844660194174637
1979,3,0.27669902912621325
1979,4,0.45145631067961167
1979,5,0.33495145631068013
1979,6,0.8592233009708772
1979,7,1.0339805825242716
1979,8,1.0048543689320382
1979,9,0.8009708737864085
1979,10,0.9466019417475735
1979,11,0.3058252427184467
1979,12,-0.5388349514563099
1980,1,-0.6553398058252414
1980,2,-0.6553398058252414
1980,3,0.4805825242718451
1980,4,0.5388349514563098
1980,5,0.5679611650485432
1980,6,0.9174757281553401
1980,7,0.8883495145631066
1980,8,0.9757281553398047
1980,9,1.0339805825242716
1980,10,0.7135922330097082
1980,11,0.21844660194174859
1980,12,-0.7718446601941751
1981,1,-1.2378640776699013
1981,2,-0.36407766990291135
1981,3,0.3058252427184467
1981,4,0.6844660194174748
1981,5,0.5388349514563098
1981,6,0.9757281553398047
1981,7,0.8883495145631066
1981,8,0.9466019417475735
1981,9,0.8300970873786397
1981,10,0.6553398058252435
1981,11,0.18932038834951515
1981,12,-0.45145631067961167
1982,1,-0.9174757281553401
1982,2,-0.7427184466019416
1982,3,0.42233009708737823
1982,4,0.36407766990291357
1982,5,0.5388349514563098
1982,6,0.9466019417475735
1982,7,0.7718446601941751
1982,8,0.8883495145631066
1982,9,0.7427184466019416
1982,10,0.5679611650485432
1982,11,0.1601941747572817
1982,12,-0.6844660194174749
1983,1,-1.0922330097087363
1983,2,-0.33495145631068013
1983,3,0.27669902912621747
1983,4,0.6844660194174748
1983,5,0.9466019417475735
1983,6,0.9757281553398047
1983,7,1.0048543689320382
1983,8,1.1213592233009697
1983,9,1.1504854368932032
1983,10,0.6844660194174748
1983,11,0.27669902912621747
1983,12,-0.42233009708737823
1984,1,-1.20873786407767
1984,2,-0.6262135922330101
1984,3,0.5388349514563098
1984,4,0.3058252427184467
1984,5,0.5679611650485432
1984,6,0.9466019417475735
1984,7,0.8883495145631066
1984,8,1.0922330097087385
1984,9,0.8009708737864085
1984,10,0.6553398058252435
1984,11,-0.04368932038835016
1984,12,-0.7135922330097082
1985,1,-0.8592233009708732
1985,2,-0.5679611650485432
1985,3,0.21844660194174859
1985,4,0.21844660194174859
1985,5,0.4805825242718451
1985,6,0.7718446601941751
1985,7,0.7427184466019416
1985,8,1.1796116504854366
1985,9,0.8300970873786397
1985,10,0.7135922330097082
1985,11,0.33495145631068013
1985,12,-0.7718446601941751
1986,1,-1.1213592233009697
1986,2,-0.36407766990291135
1986,3,-0.01456310679611672
1986,4,0.45145631067961167
1986,5,0.6262135922330101
1986,6,0.7718446601941751
1986,7,0.7427184466019416
1986,8,1.0048543689320422
1986,9,0.8300970873786397
1986,10,0.7718446601941751
1986,11,0.36407766990291357
1986,12,-0.9174757281553401
1987,1,-0.7427184466019416
1987,2,-0.01456310679611672
1987,3,0.5970873786407767
1987,4,0.5970873786407767
1987,5,0.6844660194174748
1987,6,0.9466019417475735
